taxon	sequenceID	combined	pubmed_id	source	name	isolate	country	subtype	genotype	collection_year
alignment/AL_TREE_Equine_Temp/member/ncbi-curated-equine/AB008196	AB008196	AB008196/American/-/-/-/V70	10930666	ncbi-curated-equine	EIAV	V70	-	-	American	-
alignment/AL_TREE_Equine_Temp/member/ncbi-curated-equine/AB008197	AB008197	AB008197/American/-/-/-/V26	10930666	ncbi-curated-equine	EIAV	V26	-	-	American	-
alignment/AL_TREE_Equine_Temp/member/ncbi-refseqs-core/AF016316	AF016316	AF016316/American/American/United States/-/NK	9445039	ncbi-refseqs-core	EIAV	NK	United States	American	American	-
alignment/AL_TREE_Equine_Temp/member/ncbi-refseqs-equine/AF028231	AF028231	AF028231/American/-/-/-/-	-	ncbi-refseqs-equine	EIAV	-	-	-	American	-
alignment/AL_TREE_Equine_Temp/member/ncbi-refseqs-equine/AF028232	AF028232	AF028232/American/-/-/-/-	9420249	ncbi-refseqs-equine	EIAV	-	-	-	American	-
alignment/AL_TREE_Equine_Temp/member/ncbi-refseqs-equine/AF247394	AF247394	AF247394/American/-/-/-/-	11038386	ncbi-refseqs-equine	EIAV	-	-	-	American	-
alignment/AL_TREE_Equine_Temp/member/ncbi-refseqs-equine/AF327877	AF327877	AF327877/Asian/-/-/-/Liaoning	16932982	ncbi-refseqs-equine	EIAV	Liaoning	-	-	Asian	-
alignment/AL_TREE_Equine_Temp/member/ncbi-refseqs-equine/AF327878	AF327878	AF327878/Asian/-/-/-/-	16932982	ncbi-refseqs-equine	EIAV	-	-	-	Asian	-
alignment/AL_TREE_Equine_Temp/member/ncbi-refseqs-equine/GU385353	GU385353	GU385353/Asian/-/China/-/FDDV-5	21136127	ncbi-refseqs-equine	EIAV	FDDV-5	China	-	Asian	-
alignment/AL_TREE_Equine_Temp/member/ncbi-refseqs-equine/GU385354	GU385354	GU385354/Asian/-/China/-/FDDV-6	21136127	ncbi-refseqs-equine	EIAV	FDDV-6	China	-	Asian	-
alignment/AL_TREE_Equine_Temp/member/ncbi-refseqs-equine/GU385355	GU385355	GU385355/Asian/-/China/-/FDDV-2	21136127	ncbi-refseqs-equine	EIAV	FDDV-2	China	-	Asian	-
alignment/AL_TREE_Equine_Temp/member/ncbi-curated-equine/GU385356	GU385356	GU385356/Asian/-/China/-/FDDV-15-4	21136127	ncbi-curated-equine	EIAV	FDDV-15-4	China	-	Asian	-
alignment/AL_TREE_Equine_Temp/member/ncbi-refseqs-equine/GU385357	GU385357	GU385357/Asian/-/China/-/FDDV-7	21136127	ncbi-refseqs-equine	EIAV	FDDV-7	China	-	Asian	-
alignment/AL_TREE_Equine_Temp/member/ncbi-refseqs-equine/GU385358	GU385358	GU385358/Asian/-/China/-/FDDV-8	21136127	ncbi-refseqs-equine	EIAV	FDDV-8	China	-	Asian	-
alignment/AL_TREE_Equine_Temp/member/ncbi-refseqs-equine/GU385359	GU385359	GU385359/Asian/-/China/-/FDDV-9	21136127	ncbi-refseqs-equine	EIAV	FDDV-9	China	-	Asian	-
alignment/AL_TREE_Equine_Temp/member/ncbi-refseqs-equine/GU385360	GU385360	GU385360/Asian/-/China/-/FDDV-10	21136127	ncbi-refseqs-equine	EIAV	FDDV-10	China	-	Asian	-
alignment/AL_TREE_Equine_Temp/member/ncbi-refseqs-equine/GU385361	GU385361	GU385361/Asian/-/China/-/FDDV3-8TM	21136127	ncbi-refseqs-equine	EIAV	FDDV3-8TM	China	-	Asian	-
alignment/AL_TREE_Equine_Temp/member/ncbi-refseqs-equine/GU385362	GU385362	GU385362/Asian/-/China/-/LN-1	21136127	ncbi-refseqs-equine	EIAV	LN-1	China	-	Asian	-
alignment/AL_TREE_Equine_Temp/member/ncbi-refseqs-equine/GU385363	GU385363	GU385363/Asian/-/China/-/LN-3	21136127	ncbi-refseqs-equine	EIAV	LN-3	China	-	Asian	-
alignment/AL_TREE_Equine_Temp/member/ncbi-refseqs-equine/GU385364	GU385364	GU385364/Asian/-/China/-/LN-4	21136127	ncbi-refseqs-equine	EIAV	LN-4	China	-	Asian	-
