sequenceID	source.name	genotype	subtype
AB693823	ncbi-nuccore-equine	As	-
AB693824	ncbi-nuccore-equine	-	-
AB693825	ncbi-nuccore-equine	Am	-
AF005104	ncbi-nuccore-equine	Am	-
AF005105	ncbi-nuccore-equine	Am	-
AF005106	ncbi-nuccore-equine	Am	-
AF005107	ncbi-nuccore-equine	Am	-
AF005108	ncbi-nuccore-equine	Am	-
AF005109	ncbi-nuccore-equine	Am	-
AF005110	ncbi-nuccore-equine	Am	-
AF005111	ncbi-nuccore-equine	Am	-
AF005112	ncbi-nuccore-equine	Am	-
AF005113	ncbi-nuccore-equine	Am	-
AF005114	ncbi-nuccore-equine	Am	-
AF005115	ncbi-nuccore-equine	Am	-
AF005116	ncbi-nuccore-equine	Am	-
AF005117	ncbi-nuccore-equine	Am	-
AF005118	ncbi-nuccore-equine	Am	-
AF005119	ncbi-nuccore-equine	Am	-
AF005120	ncbi-nuccore-equine	Am	-
AF005121	ncbi-nuccore-equine	Am	-
AF005122	ncbi-nuccore-equine	Am	-
AF005123	ncbi-nuccore-equine	Am	-
AF005124	ncbi-nuccore-equine	Am	-
AF005125	ncbi-nuccore-equine	Am	-
AF005126	ncbi-nuccore-equine	Am	-
AF005127	ncbi-nuccore-equine	Am	-
AF005128	ncbi-nuccore-equine	Am	-
AF005129	ncbi-nuccore-equine	Am	-
AF005130	ncbi-nuccore-equine	Am	-
AF005131	ncbi-nuccore-equine	Am	-
AF005132	ncbi-nuccore-equine	Am	-
AF005133	ncbi-nuccore-equine	Am	-
AF005134	ncbi-nuccore-equine	Am	-
AF005145	ncbi-nuccore-equine	Am	-
AF005146	ncbi-nuccore-equine	Am	-
AF005147	ncbi-nuccore-equine	Am	-
AF005148	ncbi-nuccore-equine	Am	-
AF005149	ncbi-nuccore-equine	Am	-
AF005150	ncbi-nuccore-equine	Am	-
AF005151	ncbi-nuccore-equine	Am	-
AF170360	ncbi-nuccore-equine	Am	-
AF170361	ncbi-nuccore-equine	Am	-
AF170362	ncbi-nuccore-equine	Am	-
AF170363	ncbi-nuccore-equine	Am	-
AF170364	ncbi-nuccore-equine	Am	-
AF170365	ncbi-nuccore-equine	Am	-
AF170366	ncbi-nuccore-equine	Am	-
AF170367	ncbi-nuccore-equine	Am	-
AF170368	ncbi-nuccore-equine	Am	-
AF170369	ncbi-nuccore-equine	Am	-
AF170370	ncbi-nuccore-equine	Am	-
AF170371	ncbi-nuccore-equine	Am	-
AF170372	ncbi-nuccore-equine	Am	-
AF170894	ncbi-nuccore-equine	Am	-
AF170895	ncbi-nuccore-equine	Am	-
AF170896	ncbi-nuccore-equine	Am	-
AF170897	ncbi-nuccore-equine	Am	-
AF170898	ncbi-nuccore-equine	Am	-
AF170899	ncbi-nuccore-equine	Am	-
AF170900	ncbi-nuccore-equine	Am	-
AF172098	ncbi-nuccore-equine	Am	-
AF172099	ncbi-nuccore-equine	Am	-
AF172100	ncbi-nuccore-equine	Am	-
AF172101	ncbi-nuccore-equine	Am	-
