sequenceID	full_name	name	species	subgenus	genotype	host_common_name	host_sci_name	isolate	collection_year	country	pubmed_id
AB008196	Equine infectious anemia virus	EIAV	EIAV	Equine	American	Domestic horse	Equus caballus		NK	NK	10930666
AB008197	Equine infectious anemia virus	EIAV	EIAV	Equine	American	Domestic horse	Equus caballus		NK	NK	10930666
GU385356	Equine infectious anemia virus	EIAV	EIAV	Equine	Asian	Domestic horse	Equus caballus		NK	China	21136127
KM247554	Equine infectious anemia virus	EIAV	EIAV	Equine	European1	Domestic horse	Equus caballus		NK	Italy	NK
KM247555	Equine infectious anemia virus	EIAV	EIAV	Equine	European1	Domestic horse	Equus caballus		NK	Italy	NK
MH580898	Equine infectious anemia virus	EIAV	EIAV	Equine	UK	Domestic horse	Equus caballus		2012	United Kingdom	NK
MH820163	Equine infectious anemia virus	EIAV	EIAV	Equine	American	Domestic horse	Equus caballus		2009	USA	NK
MH820164	Equine infectious anemia virus	EIAV	EIAV	Equine	American	Domestic horse	Equus caballus		2008	USA	NK
MH820165	Equine infectious anemia virus	EIAV	EIAV	Equine	American	Domestic horse	Equus caballus		2008	USA	NK
MH820166	Equine infectious anemia virus	EIAV	EIAV	Equine	American	Domestic horse	Equus caballus		2016	USA	NK
MN560971	Equine infectious anemia virus	EIAV	EIAV	Equine	Brazil	Domestic horse	Equus caballus		2015	Brazil	32059508
MT338937	Equine infectious anemia virus	EIAV	EIAV	Equine	European2	Domestic horse	Equus caballus		2015	Serbia	NK
MW924675	Equine infectious anemia virus	EIAV	EIAV	Equine	Spain	Domestic horse	Equus caballus		2017	Spain	NK
MW924676	Equine infectious anemia virus	EIAV	EIAV	Equine	Spain	Domestic horse	Equus caballus		2017	Spain	NK
MW924677	Equine infectious anemia virus	EIAV	EIAV	Equine	Spain	Domestic horse	Equus caballus		2017	Spain	NK
AF016316	Equine infectious anemia virus	EIAV	EIAV	Equine	American	Domestic horse	Equus caballus		NK	United States	9445039
AF028231	Equine infectious anemia virus	EIAV	EIAV	Equine	American	Domestic horse	Equus caballus		NK	NK	NK
AF028232	Equine infectious anemia virus	EIAV	EIAV	Equine	American	Domestic horse	Equus caballus		NK	NK	9420249
AF247394	Equine infectious anemia virus	EIAV	EIAV	Equine	American	Domestic horse	Equus caballus		NK	NK	11038386
AF327877	Equine infectious anemia virus	EIAV	EIAV	Equine	Asian	Domestic horse	Equus caballus		NK	NK	16932982
AF327878	Equine infectious anemia virus	EIAV	EIAV	Equine	Asian	Domestic horse	Equus caballus		NK	NK	16932982
GU385353	Equine infectious anemia virus	EIAV	EIAV	Equine	Asian	Domestic horse	Equus caballus		NK	China	21136127
